date,block,level,diversity,transect,quadrat,treat,taxa,replicate,area(cm),
7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,
7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,
7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,
7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,
7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,
7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,
7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,
7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,
7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,
7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,1,37.076,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,2,33.447,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,3,26.956,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,4,11.833,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,5,17.533,
7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,
7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,
7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,
7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,
7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,
7/4/2016,A,1,2,D,4,bn,HEPA,1,11.124,
7/4/2016,A,1,2,D,4,bn,HEPA,2,15.362,
7/4/2016,A,1,2,D,4,bn,HEPA,3,14.76,
7/4/2016,A,1,2,D,4,bn,HEPA,4,12.166,
7/4/2016,A,1,2,D,4,bn,HEPA,5,14.267,
7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,
7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,
7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,
7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,
7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,
7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,
7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,
7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,
7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,
