year,block,level,diversity,transect,treat,UTM_east, UTM_north,sample,pH,solvita(ppmC),emn,biomass_C,Omloi,kclN,WEONppm_15,WEOCppm_15,OC_ON
2016,C,1,low,O,no,534648.1,4510500,1,NA,26.4,13.2,528,1.9,12.27,NA,NA,NA
2016,C,1,low,O,no,534640.6,4510496,2,NA,25.2,12.6,504,1.3,6.98,NA,NA,NA
2016,C,1,low,O,no,534614.3,4510504,3,NA,21.1,10.6,422,1.3,7.04,NA,NA,NA
2016,C,2,high,O,no,534623.1,4510445,1,NA,29,14.5,580,2,2.82,NA,NA,NA
2016,C,2,high,O,no,534624.9,4510443,2,NA,30.3,15.1,606,1.8,7.03,NA,NA,NA
2016,C,2,high,O,no,534677.6,4510463,3,NA,36.4,18.2,728,1.7,4.04,NA,NA,NA
2016,C,3,mid,O,no,534697.3,4510371,1,NA,33.1,16.5,662,2,0.28,NA,NA,NA
2016,C,3,mid,O,no,534688,4510364,2,NA,45.5,22.8,910,1.7,10.97,NA,NA,NA
2016,C,3,mid,O,no,534660,4510360,3,NA,30.3,15.1,606,1.9,11.27,NA,NA,NA
2016,C,4,low,O,no,534686.5,4510304,1,NA,25.2,12.6,504,2.6,5.3,NA,NA,NA
2016,C,4,low,O,no,534708.6,4510324,2,NA,19.2,9.6,384,2.1,7.27,NA,NA,NA
2016,C,4,low,O,no,534660.3,4510307,3,NA,2.42,12.1,484,2,11.57,NA,NA,NA
2016,B,1,mid,O,no,534559.1,4510479,1,NA,36.4,18.2,728,1.6,8.72,NA,NA,NA
2016,B,1,mid,O,no,534572.8,4510470,2,NA,39.8,19.9,796,1.8,10.57,NA,NA,NA
2016,B,1,mid,O,no,534562.8,4510503,3,NA,26.4,13.2,528,1.4,11.27,NA,NA,NA
2016,B,2,low,O,no,534564.8,4510384,1,NA,24.2,12.1,484,1.6,7.83,NA,NA,NA
2016,B,2,low,O,no,534562.9,4510423,2,NA,33.1,16.5,662,2.1,8.6,NA,NA,NA
2016,B,2,low,O,no,534570,4510396,3,NA,27.7,13.9,554,1.8,11.47,NA,NA,NA
