site,ange,glyle,hemax,hepa,mofi,pavi,silin,sogi,solidago,sonu
a  4 1 C1 ,309,0,0,0,0,0,0,0,195.8,0
a  4 1 C2 ,296,0,0,0,0,0,0,0,218.6,0
a 1 2 C1 ,379.8,0,334.2,0,187,0,0,0,0,414
a 1 2 C2 ,360.8,0,292.2,0,145.2,372.4,0,0,194.4,0
a 1 2 D1 ,393.6,0,0,0,0,0,0,0,0,429.4444444
a 1 2 D2 ,370.6,0,0,0,179.4,0,0,0,239,391.2
a 1 2 D3 ,435.6,0,0,0,0,0,0,0,0,415.4
a 1 2 D4 ,420.4,0,314,0,0,0,0,0,0,460.6
a 3 2 C1 ,346.8,0,268.2,0,0,0,254,0,0,386.2
a 3 2 C2 ,303.6,0,296,0,180.6,0,0,0,275.6,379.8
a 3 2 D2 ,436.8,0,0,0,0,0,0,0,401.4,0
a 3 2 D3 ,375.8,0,348.2,0,0,0,0,0,266.6,454.4
a 3 2 D4 ,0,0,277,0,199.6,0,0,0,316.4,327.8
a 4 1 D1 ,426.6,0,0,0,0,0,0,0,239,0
a 4 1 D2 ,340.6,0,0,0,0,0,0,0,243,0
a 4 1 D3 ,355.8,0,0,0,0,0,0,0,192,0
a 4 1 D4 ,359.4,0,0,0,0,0,0,0,184.4,0
b  4 2 D2 ,405,278.2,0,0,0,0,0,0,292.6,444.4
b 2 1 C1 ,367,0,0,0,0,0,0,0,138.8,0
b 2 1 C2 ,292.2,0,0,0,0,0,0,0,0,0
b 2 1 D1 ,368.2,0,0,0,0,0,0,0,141.2,0
b 2 1 D2 ,411.4,0,0,0,0,0,0,0,0,0
b 2 1 D3 ,419.2,0,0,0,0,0,0,0,319,0
b 2 1 D4 ,321.8,0,0,0,0,0,0,0,258,0
b 4 2 C1 ,362,272,0,0,156.2,0,0,0,250.4,436.8
b 4 2 C2 ,315.4,306.4,306.4,0,143.8,0,0,0,0,402.6
b 4 2 D1 ,288.4,240.2,302.8,0,195.6,0,0,207.4,0,336.8
b 4 2 D3 ,407.8,0,0,0,117.4,0,0,0,0,402.4
b 4 2 D4 ,369.8,148.8,0,0,0,0,0,0,0,395
c 1 1 C1 ,301.4,0,0,0,0,0,0,0,0,0
c 1 1 C2 ,268.2,0,0,0,0,0,0,0,245.2,0
c 1 1 D1 ,399.8,0,0,0,0,0,0,0,0,0
c 1 1 D2 ,419,0,0,0,0,0,0,0,273.4,0
c 1 1 D3 ,374.8,0,0,0,0,0,0,0,0,0
c 1 1 D4 ,328,0,0,0,0,0,0,0,230,0
c 2 1 D1 ,416.4,0,0,0,0,0,0,0,0,441.8
c 2 2 C1 ,386,0,0,349.4,0,0,0,0,0,435.8
c 2 2 C2 ,375.8,0,0,0,150.2,0,0,0,0,380
c 2 2 D2 ,386,0,0,0,0,0,0,0,255.2,381
c 2 2 D3 ,420.4,0,0,0,217.4,444.4,0,0,229.8,0
c 2 2 D4 ,0,0,0,0,199.4,324,0,0,335.6,429.4
c 4 1 C1 ,341.8,0,0,0,0,0,0,0,258.2,0
c 4 1 C2 ,255.6,0,0,0,0,0,0,0,222.2,0
c 4 1 D1 ,360.8,0,347,0,0,0,0,0,226,0
c 4 1 D2 ,349.4,0,373.6,0,0,0,0,0,294.4,0
c 4 1 D3 ,382.4,0,0,0,0,0,0,0,0,0
c 4 1 D4 ,360.8,0,0,0,0,0,0,0,0,0
