dlat,dlong
40.744714,98.5896
40.744683,98.589689
40.744758,98.59
40.744222,98.5899
40.744206,98.589878
40.744386,98.589253
40.743556,98.589025
NA,NA
NA,NA
40.743489,98.589136
40.743456,98.589467
40.742953,98.589156
40.743131,98.588894
NA,NA
40.742975,98.589467
40.744533,98.590656
40.744453,98.590494
40.74475,98.590611
40.743681,98.590594
40.744028,98.590614
40.743781,98.590531
40.743144,98.590625
40.743442,98.590675
40.743292,98.590561
40.7425,98.590306
40.742964,98.5901
40.742697,98.590506
40.744097,98.59175
40.743947,98.591375
40.744244,98.591761
40.743464,98.591456
40.743069,98.591736
40.743275,98.591186
40.742564,98.591222
40.742753,98.591372
40.742925,98.591494
40.742031,98.591242
40.742097,98.59095
40.742311,98.5914
40.744811,98.589736
40.744811,98.589722
40.744789,98.589719
40.744786,98.589733
40.744803,98.589692
NA,NA
40.744806,98.589669
40.744247,98.589572
40.744247,98.58955
40.744228,98.589544
40.744222,98.589561
40.744242,98.589517
40.744244,98.589497
40.74305,98.589186
40.74305,98.589175
40.743028,98.589164
40.743031,98.589183
40.743044,98.589147
40.743053,98.589125
40.743867,98.590531
40.743867,98.590511
40.743844,98.590514
40.743844,98.590533
40.743856,98.590489
40.743861,98.593125
40.742728,98.590192
40.742725,98.590175
40.742703,98.590169
40.742703,98.590192
40.742719,98.590147
40.742725,98.590125
40.744017,98.591656
40.744019,98.591639
40.743994,98.591636
40.743992,98.59165
40.744011,98.591608
40.743456,98.591431
40.741494,98.5913
40.742775,98.591283
40.742753,98.591281
40.742747,98.591294
40.742764,98.591253
40.742772,98.591239
40.742167,98.591131
40.742169,98.591114
40.742144,98.591114
40.742139,98.591131
40.742158,98.591083
40.742158,98.591056
