"","site","year","block","level","diversity","transect","quadrat","treat","bare","litter","unit"
"393","2016 a 1 2 C1 1",2016,"a",1,2,"C1",1,"control",0,97.5,"a 1 2 C1"
"394","2016 a 1 2 C1 2",2016,"a",1,2,"C1",2,"control",0,97.5,"a 1 2 C1"
"395","2016 a 1 2 C1 5",2016,"a",1,2,"C1",5,"control",15,62.5,"a 1 2 C1"
"396","2016 a 1 2 C1 8",2016,"a",1,2,"C1",8,"control",0,97.5,"a 1 2 C1"
"397","2016 a 1 2 C2 3",2016,"a",1,2,"C2",3,"control",0,97.5,"a 1 2 C2"
"398","2016 a 1 2 C2 5",2016,"a",1,2,"C2",5,"control",0,97.5,"a 1 2 C2"
"399","2016 a 1 2 C2 7",2016,"a",1,2,"C2",7,"control",0,97.5,"a 1 2 C2"
"400","2016 a 1 2 C2 8",2016,"a",1,2,"C2",8,"control",0,97.5,"a 1 2 C2"
"401","2016 a 1 2 D1 1",2016,"a",1,2,"D1",1,"nitrogen",0,97.5,"a 1 2 D1"
"402","2016 a 1 2 D1 2",2016,"a",1,2,"D1",2,"nitrogen",0,97.5,"a 1 2 D1"
"403","2016 a 1 2 D1 3",2016,"a",1,2,"D1",3,"nitrogen",0,85,"a 1 2 D1"
"404","2016 a 1 2 D1 5",2016,"a",1,2,"D1",5,"nitrogen",0,0,"a 1 2 D1"
"405","2016 a 1 2 D3 1",2016,"a",1,2,"D3",1,"biomass",3,5.5,"a 1 2 D3"
"406","2016 a 1 2 D3 2",2016,"a",1,2,"D3",2,"biomass",0,97.5,"a 1 2 D3"
"407","2016 a 1 2 D3 4",2016,"a",1,2,"D3",4,"biomass",0,5.5,"a 1 2 D3"
"408","2016 a 1 2 D3 8",2016,"a",1,2,"D3",8,"biomass",0,85,"a 1 2 D3"
"409","2016 a 1 2 D4 5",2016,"a",1,2,"D4",5,"biomass_nitrogen",0,97.5,"a 1 2 D4"
"410","2016 a 1 2 D4 6",2016,"a",1,2,"D4",6,"biomass_nitrogen",0,97.5,"a 1 2 D4"
"411","2016 a 1 2 D4 7",2016,"a",1,2,"D4",7,"biomass_nitrogen",0,85,"a 1 2 D4"
"412","2016 a 1 2 D4 8",2016,"a",1,2,"D4",8,"biomass_nitrogen",0,97.5,"a 1 2 D4"
"413","2016 a 1 2 O1 1",2016,"a",1,2,"O1",1,"no",3,85,"a 1 2 O1"
"414","2016 a 1 2 O1 2",2016,"a",1,2,"O1",2,"no",0,85,"a 1 2 O1"
"415","2016 a 1 2 O1 3",2016,"a",1,2,"O1",3,"no",3,85,"a 1 2 O1"
"416","2016 a 1 2 O1 4",2016,"a",1,2,"O1",4,"no",0,85,"a 1 2 O1"
"417","2016 a 1 2 O1 5",2016,"a",1,2,"O1",5,"no",0,85,"a 1 2 O1"
"418","2016 a 1 2 O1 6",2016,"a",1,2,"O1",6,"no",0,97.5,"a 1 2 O1"
"419","2016 a 1 2 O1 7",2016,"a",1,2,"O1",7,"no",0,85,"a 1 2 O1"
"420","2016 a 1 2 O1 8",2016,"a",1,2,"O1",8,"no",0,97.5,"a 1 2 O1"
"421","2016 a 1 2 O2 1",2016,"a",1,2,"O2",1,"no",0,85,"a 1 2 O2"
"422","2016 a 1 2 O2 2",2016,"a",1,2,"O2",2,"no",0,85,"a 1 2 O2"
"423","2016 a 1 2 O2 3",2016,"a",1,2,"O2",3,"no",0,97.5,"a 1 2 O2"
"424","2016 a 1 2 O2 4",2016,"a",1,2,"O2",4,"no",0,97.5,"a 1 2 O2"
"425","2016 a 1 2 O2 5",2016,"a",1,2,"O2",5,"no",0,97.5,"a 1 2 O2"
"426","2016 a 1 2 O2 6",2016,"a",1,2,"O2",6,"no",0,85,"a 1 2 O2"
"427","2016 a 1 2 O2 7",2016,"a",1,2,"O2",7,"no",0,97.5,"a 1 2 O2"
"428","2016 a 1 2 O2 8",2016,"a",1,2,"O2",8,"no",3,85,"a 1 2 O2"
"429","2016 a 1 2 O3 1",2016,"a",1,2,"O3",1,"no",3,62.5,"a 1 2 O3"
"430","2016 a 1 2 O3 2",2016,"a",1,2,"O3",2,"no",0,85,"a 1 2 O3"
"431","2016 a 1 2 O3 3",2016,"a",1,2,"O3",3,"no",0,97.5,"a 1 2 O3"
"432","2016 a 1 2 O3 4",2016,"a",1,2,"O3",4,"no",0,97.5,"a 1 2 O3"
"433","2016 a 1 2 O3 5",2016,"a",1,2,"O3",5,"no",0,97.5,"a 1 2 O3"
"434","2016 a 1 2 O3 6",2016,"a",1,2,"O3",6,"no",0,85,"a 1 2 O3"
"435","2016 a 1 2 O3 7",2016,"a",1,2,"O3",7,"no",0,97.5,"a 1 2 O3"
"436","2016 a 1 2 O3 8",2016,"a",1,2,"O3",8,"no",0,97.5,"a 1 2 O3"
"437","2016 a 1 2 O4 1",2016,"a",1,2,"O4",1,"no",0,85,"a 1 2 O4"
"438","2016 a 1 2 O4 2",2016,"a",1,2,"O4",2,"no",3,85,"a 1 2 O4"
"439","2016 a 1 2 O4 3",2016,"a",1,2,"O4",3,"no",0,85,"a 1 2 O4"
"440","2016 a 1 2 O4 4",2016,"a",1,2,"O4",4,"no",0,85,"a 1 2 O4"
"441","2016 a 1 2 O4 5",2016,"a",1,2,"O4",5,"no",0,85,"a 1 2 O4"
"442","2016 a 1 2 O4 6",2016,"a",1,2,"O4",6,"no",0,97.5,"a 1 2 O4"
"443","2016 a 1 2 O4 7",2016,"a",1,2,"O4",7,"no",0,85,"a 1 2 O4"
"444","2016 a 1 2 O4 8",2016,"a",1,2,"O4",8,"no",0,85,"a 1 2 O4"
"445","2016 a 3 2 C1 3",2016,"a",3,2,"C1",3,"control",0,97.5,"a 3 2 C1"
"446","2016 a 3 2 C1 4",2016,"a",3,2,"C1",4,"control",0,0,"a 3 2 C1"
"447","2016 a 3 2 C1 5",2016,"a",3,2,"C1",5,"control",0,62.5,"a 3 2 C1"
"448","2016 a 3 2 C1 8",2016,"a",3,2,"C1",8,"control",0,85,"a 3 2 C1"
"449","2016 a 3 2 C2 1",2016,"a",3,2,"C2",1,"control",0,97.5,"a 3 2 C2"
"450","2016 a 3 2 C2 4",2016,"a",3,2,"C2",4,"control",0,97.5,"a 3 2 C2"
"451","2016 a 3 2 C2 7",2016,"a",3,2,"C2",7,"control",0,85,"a 3 2 C2"
"452","2016 a 3 2 C2 8",2016,"a",3,2,"C2",8,"control",0,97.5,"a 3 2 C2"
"453","2016 a 3 2 D1 1",2016,"a",3,2,"D1",1,"biomass",0,85,"a 3 2 D1"
"454","2016 a 3 2 D1 4",2016,"a",3,2,"D1",4,"biomass",0,85,"a 3 2 D1"
"455","2016 a 3 2 D1 5",2016,"a",3,2,"D1",5,"biomass",0,97.5,"a 3 2 D1"
"456","2016 a 3 2 D1 6",2016,"a",3,2,"D1",6,"biomass",0,62.5,"a 3 2 D1"
"457","2016 a 3 2 D2 1",2016,"a",3,2,"D2",1,"biomass_nitrogen",0,97.5,"a 3 2 D2"
"458","2016 a 3 2 D2 2",2016,"a",3,2,"D2",2,"biomass_nitrogen",0,0,"a 3 2 D2"
"459","2016 a 3 2 D2 4",2016,"a",3,2,"D2",4,"biomass_nitrogen",0,97.5,"a 3 2 D2"
"460","2016 a 3 2 D2 6",2016,"a",3,2,"D2",6,"biomass_nitrogen",0,97.5,"a 3 2 D2"
"461","2016 a 3 2 D3 3",2016,"a",3,2,"D3",3,"nitrogen",0,97.5,"a 3 2 D3"
"462","2016 a 3 2 D3 5",2016,"a",3,2,"D3",5,"nitrogen",0,97.5,"a 3 2 D3"
