block,level,taxa,diversity,trt,cla_1,cla_2,cla_3,cla_4,cla_5,cla_avg,UTM_east,UTM_north
a,4,ange,1,control,243,294,268,389,351,309,534524.3,4510215
a,3,ange,2,biomass_nitrogen,452,395,306,401,325,375.8,534507.1,4510284
a,3,ange,2,biomass_nitrogen,427,401,471,395,490,436.8,534507.1,4510284
a,1,ange,2,rainout,375,452,319,325,382,370.6,534476.4,4510422
a,1,ange,2,control,382,408,363,376,370,379.8,534479,4510421
a,4,ange,1,nitrogen,363,395,408,490,477,426.6,534520.2,4510216
a,4,ange,1,biomass,389,363,338,382,325,359.4,534520.2,4510213
a,4,ange,1,biomass_nitrogen,484,370,420,294,211,355.8,534521.6,4510214
a,4,ange,1,rainout,465,294,249,332,363,340.6,534521.6,4510216
a,3,ange,2,control,332,344,363,300,395,346.8,534509.6,4510282
a,3,ange,2,control,255,275,382,325,281,303.6,534510.8,4510283
a,1,ange,2,control,332,370,414,382,306,360.8,534494.2,4510359
a,1,ange,2,nitrogen,401,357,344,382,401,377,534474.9,4510421
a,1,ange,2,biomass_nitrogen,325,370,357,370,433,371,534475.4,4510419
a,1,ange,2,nitrogen,382,420,465,351,433,410.2,534474.9,4510421
a,1,ange,2,biomass_nitrogen,395,389,452,446,420,420.4,534475.4,4510419
a,1,ange,2,biomass,363,522,503,439,351,435.6,534476.6,4510419
b,4,ange,2,nitrogen,458,414,344,439,370,405,534600.6,4510279
b,4,ange,1,control,382,357,363,370,338,362,534604.8,4510279
b,2,ange,1,nitrogen,395,408,427,439,427,419.2,534571.4,4510403
b,2,ange,1,nitrogen,414,433,458,370,382,411.4,534571.4,4510403
b,2,ange,1,control,401,370,319,306,439,367,534351,4510403
b,2,ange,1,control,249,382,313,249,268,292.2,534351,4510403
b,4,ange,2,rainout,319,287,382,249,205,288.4,534599.2,4510279
b,4,ange,2,biomass,433,363,313,389,351,369.8,534599.2,4510276
b,4,ange,2,biomass_nitrogen,382,370,408,433,446,407.8,534601.1,4510276
b,4,ange,2,control,281,414,313,294,275,315.4,534603,4510278
b,2,ange,1,biomass,382,420,357,325,357,368.2,534570,4510405
b,2,ange,1,rainout,306,351,244,370,338,321.8,534569.8,4510403
c,2,ange,1,biomass_nitrogen,433,471,395,401,382,416.4,534571.7,4510405
c,2,ange,2,nitrogen,446,357,427,452,420,420.4,534653.1,4510446
c,2,ange,2,biomass,420,306,338,389,477,386,534652.6,4510448
c,2,ange,2,control,414,401,332,363,420,386,534640.3,4510509
c,2,ange,2,control,363,344,370,382,420,375.8,534655.4,4510447
c,1,ange,1,biomass,357,452,376,489,325,399.8,534636.6,4510510
c,1,ange,1,rainout,275,357,268,370,370,328,534636.9,4510507
c,1,ange,1,biomass_nitrogen,357,376,357,389,395,374.8,534638.1,4510508
c,1,ange,1,nitrogen,287,420,395,490,503,452,534637.8,4510510
c,1,ange,1,control,313,262,344,313,275,301.4,534640.3,4510509
c,1,ange,1,control,319,287,275,217,243,268.2,534642.3,4510510
c,4,ange,1,nitrogen,255,408,357,376,408,360.8,534684.9,4510315
c,4,ange,1,biomass_nitrogen,388,376,382,244,414,360.8,534684.2,4510313
c,4,ange,1,biomass,427,363,338,370,414,382.4,534685.8,4510313
c,4,ange,2,rainout,287,294,414,363,389,349.4,534684,4510315
c,4,ange,1,control,332,395,249,389,344,341.8,534687.3,4510314
c,4,ange,1,control,167,281,275,287,268,255.6,534689.1,4510315
a,4,ange,1,control,287,306,351,281,255,298.25,534526.5,4510215
b,4,glyle,2,nitrogen,268,287,217,281,338,278.2,534600.6,4510279
b,4,glyle,2,control,255,217,294,275,319,272,534603,4510278
b,4,glyle,2,rainout,211,230,243,249,268,240.2,534599.2,4510279
b,4,glyle,2,biomass,217,141,148,122,116,148.8,534599.2,4510276
