"","acer_rubrum","ambart","ambpsi","ambtri","ash_seedling","bromus_inermis","cirsium_arve","conium_maculatum","cornus_sp","curlydock","dogbane","forb1","hordjub","lespedeza","lythrum_sal","melilotus","mullein","poa_prat","setaria","stjohnswort","taoff","toxicodendron","all"
"2016 a 1 3 1",3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,3,16
"2016 a 1 3 2",0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,13
"2016 a 1 3 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"2016 a 2 2 1",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
"2016 a 2 2 2",0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,25
"2016 a 2 2 3",3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"2016 a 3 3 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"2016 a 3 3 2",7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2016 a 3 3 3",0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,3,0,0,0,26
"2016 a 4 1 1 ",0,0,0,0,0,0,122,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,153
"2017 a 4 1 2",1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2018 a 4 1 3 ",1,0,16,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"2016 b 1 2 1",9,0,0,0,0,18,3,3,9,0,0,0,0,0,0,0,0,0,0,12,0,7,61
"2016 b 1 2 2",14,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"2016 b 1 2 3",0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"2016 b 2 1 1",0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"2016 b 2 1 2",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2016 b 2 1 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"2016 b 3 2 1",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"2016 b 3 2 2",3,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"2016 b 3 2 3",7,13,0,0,0,0,7,0,3,0,15,0,0,0,0,16,0,0,0,0,0,3,64
"2016 b 4 3 1",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,0,0,24
"2016 b 4 3 2",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,3,0,0,0,23
"2016 b 4 3 3",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,11
"2016 c 1 1 1",0,0,0,0,0,3,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,16
"2016 c 1 1 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016 c 1 1 3",3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,16
"2016 c 2 3 1",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,13
"2016 c 2 3 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016 c 2 3 3",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,17
"2016 c 3 2 1",0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,13
"2016 c 3 2 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,15
"2016 c 3 2 3",7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,25
"2016 c 4 1 1",14,0,3,0,4,0,18,0,16,0,0,0,0,0,0,0,0,0,3,0,0,3,61
"2016 c 4 1 2",3,5,0,6,0,0,9,0,7,0,0,0,3,0,0,9,0,0,9,0,0,3,54
"2016 c 4 1 3",0,15,0,0,0,0,0,0,12,0,0,3,0,0,0,3,0,0,0,0,0,0,33
