,year,block,level,diversity,sample,UTM_east,UTM_north,solvita.ppmC.,emn,biomass_C,Omloi,kclN,rep,avg.n,avg.c,cirsium.index,woody.index,all.index
2016 c 1 1 1,2016,c,1,1,1,534648.1,4510500,26.4,13.2,528,1.9,12.27,c 1,8.763333333,1.5,0,2,3
2016 c 1 1 2,2016,c,1,1,2,534640.6,4510496,25.2,12.6,504,1.3,6.98,c 1,8.763333333,1.5,0,0,0
2016 c 1 1 3,2016,c,1,1,3,534614.3,4510504,21.1,10.6,422,1.3,7.04,c 1,8.763333333,1.5,0,2,3
2016 c 2 3 1,2016,c,2,3,1,534623.1,4510445,29,14.5,580,2,2.82,c 2,4.63,1.833333333,1,0,3
2016 c 2 3 2,2016,c,2,3,2,534624.9,4510443,30.3,15.1,606,1.8,7.03,c 2,4.63,1.833333333,0,0,0
2016 c 2 3 3,2016,c,2,3,3,534677.6,4510463,36.4,18.2,728,1.7,4.04,c 2,4.63,1.833333333,0,1,3
2016 c 3 2 1,2016,c,3,2,1,534697.3,4510371,33.1,16.5,662,2,0.28,c 3,7.506666667,1.866666667,2,1,3
2016 c 3 2 2,2016,c,3,2,2,534688,4510364,45.5,22.8,910,1.7,10.97,c 3,7.506666667,1.866666667,0,0,3
2016 c 3 2 3,2016,c,3,2,3,534660,4510360,30.3,15.1,606,1.9,11.27,c 3,7.506666667,1.866666667,0,2,4
2016 c 4 1 1,2016,c,4,1,1,534686.5,4510304,25.2,12.6,504,2.6,5.3,c 4,8.046666667,2.233333333,3,5,6
2016 c 4 1 2,2016,c,4,1,2,534708.6,4510324,19.2,9.6,384,2.1,7.27,c 4,8.046666667,2.233333333,2,3,6
2016 c 4 1 3,2016,c,4,1,3,534660.3,4510307,2.42,12.1,484,2,11.57,c 4,8.046666667,2.233333333,0,3,5
2016 b 1 2 1,2016,b,1,2,1,534559.1,4510479,36.4,18.2,728,1.6,8.72,b 1,10.18666667,1.6,1,4,6
2016 b 1 2 2,2016,b,1,2,2,534572.8,4510470,39.8,19.9,796,1.8,10.57,b 1,10.18666667,1.6,1,3,4
2016 b 1 2 3,2016,b,1,2,3,534562.8,4510503,26.4,13.2,528,1.4,11.27,b 1,10.18666667,1.6,1,1,3
2016 b 2 1 1,2016,b,2,1,1,534564.8,4510384,24.2,12.1,484,1.6,7.83,b 2,9.3,1.833333333,0,2,4
2016 b 2 1 2,2016,b,2,1,2,534562.9,4510423,33.1,16.5,662,2.1,8.6,b 2,9.3,1.833333333,0,1,1
2016 b 2 1 3,2016,b,2,1,3,534570,4510396,27.7,13.9,554,1.8,11.47,b 2,9.3,1.833333333,0,1,1
2016 b 3 2 1,2016,b,3,2,1,534562.4,4510325,33.1,16.5,662,2,9.01,b 3,10.68333333,1.866666667,0,2,2
2016 b 3 2 2,2016,b,3,2,2,534558,4510358,30.3,15.1,606,1.8,11.47,b 3,10.68333333,1.866666667,0,3,4
2016 b 3 2 3,2016,b,3,2,3,534567.7,4510341,47.8,23.9,956,1.8,11.57,b 3,10.68333333,1.866666667,2,3,6
2016 b 4 3 1,2016,b,4,3,1,534589.7,4510253,17.5,8.8,350,1.7,8.86,b 4,9.766666667,1.9,0,2,4
2016 b 4 3 2,2016,b,4,3,2,534606.8,4510305,74.6,37.3,1492,2,9.87,b 4,9.766666667,1.9,0,1,4
2016 b 4 3 3,2016,b,4,3,3,534572.7,4510275,36.4,18.2,728,2,10.57,b 4,9.766666667,1.9,0,2,3
2016 a 1 3 1,2016,a,1,3,1,534466.9,4510430,41.5,20.8,830,1.8,9.77,a 1,8.9,1.9,0,3,3
2016 a 1 3 2,2016,a,1,3,2,534498.7,4510414,33.1,16.5,662,1.8,9.2,a 1,8.9,1.9,0,3,3
2016 a 1 3 3,2016,a,1,3,3,534465.9,4510446,39.8,19.9,796,2.1,7.73,a 1,8.9,1.9,0,1,1
2016 a 2 2 1,2016,a,2,2,1,534492.1,4510360,26.4,13.2,528,1.5,12.37,a 2,10.93,1.533333333,0,3,3
2016 a 2 2 2,2016,a,2,2,2,534468.7,4510316,27.7,13.9,554,1.5,11.37,a 2,10.93,1.533333333,0,4,4
2016 a 2 2 3,2016,a,2,2,3,534515,4510339,24.2,12.1,484,1.6,9.05,a 2,10.93,1.533333333,2,1,3
2016 a 3 3 1,2016,a,3,3,1,534512.3,4510260,31.6,15.8,632,2,13.7,a 3,10.76666667,1.9,0,0,1
2016 a 3 3 2,2016,a,3,3,2,534499.6,4510281,33.1,16.5,662,1.9,9.67,a 3,10.76666667,1.9,0,3,3
2016 a 3 3 3,2016,a,3,3,3,534489.2,4510300,27.7,13.9,554,1.8,8.93,a 3,10.76666667,1.9,0,2,4
2016 a 4 1 1,2016,a,4,1,1,534510.9,4510201,18.4,9.2,368,1.9,7.03,a 4,11.49,2.066666667,6,1,6
2016 a 4 1 2,2016,a,4,1,2,534535.5,4510208,14.6,7.3,292,2.1,13.67,a 4,11.49,2.066666667,3,1,3
2016 a 4 1 3,2016,a,4,1,3,534497.4,4510232,24.2,12.1,484,2.2,13.77,a 4,11.49,2.066666667,6,1,6
