block,level,diversity,transect,quadrat,treat,taxa,replicate,weight.0.00g.,unit
A,1,2,D,3,biomass,ANGE,1,0.2,A 1 D 3 ANGE
A,1,2,D,3,biomass,ANGE,2,0.19,A 1 D 3 ANGE
A,1,2,D,3,biomass,ANGE,3,0.15,A 1 D 3 ANGE
A,1,2,D,3,biomass,ANGE,4,0.05,A 1 D 3 ANGE
A,1,2,D,3,biomass,ANGE,5,0.08,A 1 D 3 ANGE
A,3,2,D,2,bn,SOMI,1,0.09,A 3 D 2 SOMI
A,3,2,D,2,bn,SOMI,2,0.09,A 3 D 2 SOMI
A,3,2,D,2,bn,SOMI,3,0.03,A 3 D 2 SOMI
A,3,2,D,2,bn,SOMI,4,0.03,A 3 D 2 SOMI
A,3,2,D,2,bn,SOMI,5,0.03,A 3 D 2 SOMI
A,4,1,D,3,bn,Solidago,1,0.04,A 4 D 3 Solidago
A,4,1,D,3,bn,Solidago,2,0.04,A 4 D 3 Solidago
A,4,1,D,3,bn,Solidago,3,0.07,A 4 D 3 Solidago
A,4,1,D,3,bn,Solidago,4,0.05,A 4 D 3 Solidago
A,4,1,D,3,bn,Solidago,5,0.04,A 4 D 3 Solidago
A,3,2,D,1,biomass,HEMAX,1,0.02,A 3 D 1 HEMAX
A,3,2,D,1,biomass,HEMAX,2,0.04,A 3 D 1 HEMAX
A,3,2,D,1,biomass,HEMAX,3,0.18,A 3 D 1 HEMAX
A,3,2,D,1,biomass,HEMAX,4,0.07,A 3 D 1 HEMAX
A,3,2,D,1,biomass,HEMAX,5,0.15,A 3 D 1 HEMAX
A,4,1,D,4,biomass,Solidago,1,0.03,A 4 D 4 Solidago
A,4,1,D,4,biomass,Solidago,2,0.02,A 4 D 4 Solidago
A,4,1,D,4,biomass,Solidago,3,0.05,A 4 D 4 Solidago
A,4,1,D,4,biomass,Solidago,4,0.07,A 4 D 4 Solidago
A,4,1,D,4,biomass,Solidago,5,0.03,A 4 D 4 Solidago
A,4,1,D,4,biomass,Solidago,6,0.06,A 4 D 4 Solidago
A,1,2,D,3,biomass,HEPA,1,0.1,A 1 D 3 HEPA
A,1,2,D,3,biomass,HEPA,2,0.21,A 1 D 3 HEPA
A,1,2,D,3,biomass,HEPA,3,0.06,A 1 D 3 HEPA
A,1,2,D,3,biomass,HEPA,4,0.06,A 1 D 3 HEPA
A,1,2,D,3,biomass,HEPA,5,0.15,A 1 D 3 HEPA
A,1,2,D,3,biomass,MOFI,1,0.07,A 1 D 3 MOFI
A,1,2,D,3,biomass,MOFI,2,0.04,A 1 D 3 MOFI
A,1,2,D,3,biomass,MOFI,3,0.04,A 1 D 3 MOFI
A,1,2,D,3,biomass,MOFI,4,0.05,A 1 D 3 MOFI
A,1,2,D,3,biomass,MOFI,5,0.04,A 1 D 3 MOFI
B,2,1,D,2,bn,SOCA,1,0.08,B 2 D 2 SOCA
B,2,1,D,2,bn,SOCA,2,0.05,B 2 D 2 SOCA
B,2,1,D,2,bn,SOCA,3,0.08,B 2 D 2 SOCA
B,2,1,D,2,bn,SOCA,4,0.05,B 2 D 2 SOCA
B,2,1,D,2,bn,SOCA,5,0.07,B 2 D 2 SOCA
B,2,1,D,2,bn,SOCA,6,0.05,B 2 D 2 SOCA
B,2,1,D,1,biomass,Solidago,1,0.04,B 2 D 1 Solidago
