"","block","level","transect","quadrat","taxa","replicate","area.cm","X","unit"
"1","A",1,"C",1,"ANGE",1,"20.069","","A 1 C 1 ANGE 1"
"2","A",1,"C",1,"ANGE",2,"18.718","","A 1 C 1 ANGE 2"
"3","A",1,"C",1,"ANGE",3,"20.479","","A 1 C 1 ANGE 3"
"4","A",1,"C",1,"ANGE",4,"15.92","","A 1 C 1 ANGE 4"
"5","A",1,"C",1,"ANGE",5,"14.419","","A 1 C 1 ANGE 5"
"6","A",1,"C",1,"HEMAX",1,"19.194","","A 1 C 1 HEMAX 1"
"7","A",1,"C",1,"HEMAX",2,"11.836","","A 1 C 1 HEMAX 2"
"8","A",1,"C",1,"HEMAX",3,"5.7","","A 1 C 1 HEMAX 3"
"9","A",1,"C",1,"HEMAX",4,"5.376","","A 1 C 1 HEMAX 4"
"10","A",1,"C",1,"HEMAX",5,"8.374","","A 1 C 1 HEMAX 5"
"11","A",1,"C",1,"MOFI",1,"6.656","","A 1 C 1 MOFI 1"
"12","A",1,"C",1,"MOFI",2,"7.358","","A 1 C 1 MOFI 2"
"13","A",1,"C",1,"MOFI",3,"6.115","","A 1 C 1 MOFI 3"
"14","A",1,"C",1,"MOFI",4,"8.886","","A 1 C 1 MOFI 4"
"15","A",1,"C",1,"MOFI",5,"3.14","","A 1 C 1 MOFI 5"
"16","A",1,"C",1,"SONU",1,"21.87","","A 1 C 1 SONU 1"
"17","A",1,"C",1,"SONU",2,"23.121","","A 1 C 1 SONU 2"
"18","A",1,"C",1,"SONU",3,"29.681","","A 1 C 1 SONU 3"
"19","A",1,"C",1,"SONU",4,"23.962","","A 1 C 1 SONU 4"
"20","A",1,"C",1,"SONU",5,"24.133","","A 1 C 1 SONU 5"
"21","A",1,"C",2,"ANGE",1,"7.393","","A 1 C 2 ANGE 1"
"22","A",1,"C",2,"ANGE",2,"20.8","","A 1 C 2 ANGE 2"
"23","A",1,"C",2,"ANGE",3,"21.184","","A 1 C 2 ANGE 3"
"24","A",1,"C",2,"ANGE",4,"23.569","","A 1 C 2 ANGE 4"
"25","A",1,"C",2,"ANGE",5,"14.98","","A 1 C 2 ANGE 5"
"26","A",1,"C",2,"HEMAX",1,"4.675","","A 1 C 2 HEMAX 1"
"27","A",1,"C",2,"HEMAX",2,"11.647","","A 1 C 2 HEMAX 2"
"28","A",1,"C",2,"HEMAX",3,"6.775","","A 1 C 2 HEMAX 3"
"29","A",1,"C",2,"HEMAX",4,"6.667","","A 1 C 2 HEMAX 4"
"30","A",1,"C",2,"HEMAX",5,"7.589","","A 1 C 2 HEMAX 5"
"31","A",1,"C",2,"MOFI",1,"8.915","","A 1 C 2 MOFI 1"
"32","A",1,"C",2,"MOFI",2,"7.607","","A 1 C 2 MOFI 2"
"33","A",1,"C",2,"MOFI",3,"7.269","","A 1 C 2 MOFI 3"
"34","A",1,"C",2,"MOFI",4,"9.142","","A 1 C 2 MOFI 4"
"35","A",1,"C",2,"MOFI",5,"7.924","","A 1 C 2 MOFI 5"
"36","A",1,"C",2,"PAVI",1,"24.457","","A 1 C 2 PAVI 1"
"37","A",1,"C",2,"PAVI",2,"48.284","","A 1 C 2 PAVI 2"
"38","A",1,"C",2,"PAVI",3,"40.536","","A 1 C 2 PAVI 3"
"39","A",1,"C",2,"PAVI",4,"29.206","","A 1 C 2 PAVI 4"
"40","A",1,"C",2,"PAVI",5,"28.955","","A 1 C 2 PAVI 5"
"41","A",1,"C",2,"SOCA",1,"6.957","","A 1 C 2 SOCA 1"
"42","A",1,"C",2,"SOCA",2,"6.229","","A 1 C 2 SOCA 2"
"43","A",1,"C",2,"SOCA",3,"5.259","","A 1 C 2 SOCA 3"
"44","A",1,"C",2,"SOCA",4,"7.328","","A 1 C 2 SOCA 4"
"45","A",1,"C",2,"SOCA",5,"3.189","","A 1 C 2 SOCA 5"
"46","A",1,"D",1,"ANGE",1,"37.076","","A 1 D 1 ANGE 1"
"47","A",1,"D",1,"ANGE",2,"33.447","","A 1 D 1 ANGE 2"
"48","A",1,"D",1,"ANGE",3,"26.956","","A 1 D 1 ANGE 3"
"49","A",1,"D",1,"ANGE",4,"11.833","","A 1 D 1 ANGE 4"
"50","A",1,"D",1,"ANGE",5,"17.533","","A 1 D 1 ANGE 5"
"51","A",1,"D",1,"ANGE",1,"21.515","","A 1 D 1 ANGE 1"
"52","A",1,"D",1,"ANGE",2,"23.27","","A 1 D 1 ANGE 2"
"53","A",1,"D",1,"ANGE",3,"35.747","","A 1 D 1 ANGE 3"
"54","A",1,"D",1,"ANGE",4,"32.549","","A 1 D 1 ANGE 4"
"55","A",1,"D",1,"ANGE",5,"23.702","","A 1 D 1 ANGE 5"
"56","A",1,"D",1,"HEMAX",1,"17.55","","A 1 D 1 HEMAX 1"
"57","A",1,"D",1,"HEMAX",2,"9.133","","A 1 D 1 HEMAX 2"
"58","A",1,"D",1,"HEMAX",3,"10.42","","A 1 D 1 HEMAX 3"
"59","A",1,"D",1,"HEMAX",4,"7.282","","A 1 D 1 HEMAX 4"
"60","A",1,"D",1,"HEMAX",5,"20.074","","A 1 D 1 HEMAX 5"
"61","A",1,"D",1,"MOFI",1,"10.489","","A 1 D 1 MOFI 1"
"62","A",1,"D",1,"MOFI",2,"10.495","","A 1 D 1 MOFI 2"
"63","A",1,"D",1,"MOFI",3,"9.133","","A 1 D 1 MOFI 3"
"64","A",1,"D",1,"MOFI",4,"14.007","","A 1 D 1 MOFI 4"
"65","A",1,"D",1,"MOFI",5,"14.784","","A 1 D 1 MOFI 5"
"66","A",1,"D",1,"SONU",1,"24.465","","A 1 D 1 SONU 1"
"67","A",1,"D",1,"SONU",2,"33.784","","A 1 D 1 SONU 2"
