,unit,date,block,level,diversity,transect,quadrat,treat,taxa,replicate,area.cm,weight.0.00g
1,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,3,9.508,0.11
2,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,3,9.508,0.19
3,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,3,9.508,0.07
4,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,3,9.508,0.04
5,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,3,9.508,0.09
6,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,2,6.432,0.11
7,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,2,6.432,0.19
8,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,2,6.432,0.07
9,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,2,6.432,0.04
10,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,2,6.432,0.09
11,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,1,19.632,0.11
12,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,1,19.632,0.19
13,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,1,19.632,0.07
14,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,1,19.632,0.04
15,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,1,19.632,0.09
16,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,4,11.845,0.11
17,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,4,11.845,0.19
18,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,4,11.845,0.07
19,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,4,11.845,0.04
20,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,4,11.845,0.09
21,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,5,9.91,0.11
22,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,5,9.91,0.19
23,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,5,9.91,0.07
24,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,5,9.91,0.04
25,A 1 D 2 HEMAX,7/6/2016,A,1,2,D,2,rainout,HEMAX,5,9.91,0.09
26,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,2,5.969,0.09
27,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,2,5.969,0.03
28,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,2,5.969,0.06
29,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,2,5.969,0.07
30,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,2,5.969,0.06
31,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,1,10.262,0.09
32,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,1,10.262,0.03
33,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,1,10.262,0.06
34,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,1,10.262,0.07
35,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,1,10.262,0.06
36,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,5,8.784,0.09
37,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,5,8.784,0.03
38,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,5,8.784,0.06
39,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,5,8.784,0.07
40,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,5,8.784,0.06
41,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,4,16.831,0.09
42,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,4,16.831,0.03
43,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,4,16.831,0.06
44,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,4,16.831,0.07
45,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,4,16.831,0.06
46,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,3,14.393,0.09
47,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,3,14.393,0.03
48,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,3,14.393,0.06
49,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,3,14.393,0.07
50,A 1 D 2 MOFI,7/6/2016,A,1,2,D,2,rainout,MOFI,3,14.393,0.06
51,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.04
52,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.05
53,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.07
54,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.04
55,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.03
56,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.03
57,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.03
58,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,NODATA
59,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.05
60,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,0.05
61,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,NODATA
62,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.04
63,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.05
64,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.07
65,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.04
66,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.03
67,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.03
68,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.03
69,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,NODATA
70,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.05
71,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,0.05
72,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,NODATA
73,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.04
74,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.05
75,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.07
76,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.04
77,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.03
78,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.03
79,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.03
80,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,NODATA
81,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.05
82,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,0.05
83,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,NODATA
84,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.04
85,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.05
86,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.07
87,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.04
88,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.03
89,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.03
90,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.03
91,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,NODATA
92,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.05
93,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,0.05
94,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,NODATA
95,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.04
96,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.05
97,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.07
98,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.04
99,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.03
100,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.03
101,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.03
102,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,NODATA
103,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.05
104,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,0.05
105,A 1 D 2 SOCA,7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,NODATA
106,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,5,17.334,0.15
107,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,5,17.334,0.08
108,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,5,17.334,0.19
109,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,5,17.334,0.2
110,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,5,17.334,0.05
111,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,0.15
112,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,0.08
113,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,0.19
114,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,0.2
115,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,0.05
116,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,0.15
117,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,0.08
118,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,0.19
119,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,0.2
120,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,0.05
121,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,0.15
122,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,0.08
123,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,0.19
124,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,0.2
125,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,0.05
126,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,0.15
127,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,0.08
128,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,0.19
129,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,0.2
130,A 1 D 3 ANGE,7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,0.05
131,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,0.06
132,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,0.21
133,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,0.15
134,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,0.1
135,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,0.06
136,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,0.06
137,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,0.21
138,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,0.15
139,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,0.1
140,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,0.06
141,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,0.06
142,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,0.21
143,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,0.15
144,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,0.1
145,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,0.06
146,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,0.06
147,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,0.21
148,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,0.15
149,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,0.1
150,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,0.06
151,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,0.06
152,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,0.21
153,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,0.15
154,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,0.1
155,A 1 D 3 HEPA,7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,0.06
156,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,0.04
157,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,0.04
158,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,0.04
159,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,0.05
160,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,0.07
161,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,0.04
162,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,0.04
163,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,0.04
164,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,0.05
165,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,0.07
166,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,0.04
167,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,0.04
168,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,0.04
169,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,0.05
170,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,0.07
