"","year","block","level","diversity","transect","treat","UTM_east","UTM_north","sample","pH","solvita.ppmC.","emn","biomass_C","Omloi","kclN","WEONppm_15","WEOCppm_15","OC_ON","X","site"
"1",2016,"C",1,"low","O","no",534648.1,4510500,1,NA,26.4,13.2,528,10,12.27,NA,NA,NA,NA,"2016 C 1 low O"
"2",2016,"C",1,"low","O","no",534640.6,4510496,2,NA,25.2,12.6,504,4,6.98,NA,NA,NA,NA,"2016 C 1 low O"
"3",2016,"C",1,"low","O","no",534614.3,4510504,3,NA,21.1,10.6,422,4,7.04,NA,NA,NA,NA,"2016 C 1 low O"
"4",2016,"C",2,"high","O","no",534623.1,4510445,1,NA,29,14.5,580,11,2.82,NA,NA,NA,NA,"2016 C 2 high O"
"5",2016,"C",2,"high","O","no",534624.9,4510443,2,NA,30.3,15.1,606,9,7.03,NA,NA,NA,NA,"2016 C 2 high O"
"6",2016,"C",2,"high","O","no",534677.6,4510463,3,NA,36.4,18.2,728,8,4.04,NA,NA,NA,NA,"2016 C 2 high O"
"7",2016,"C",3,"mid","O","no",534697.3,4510371,1,NA,33.1,16.5,662,11,0.28,NA,NA,NA,NA,"2016 C 3 mid O"
"8",2016,"C",3,"mid","O","no",534688,4510364,2,NA,45.5,22.8,910,8,10.97,NA,NA,NA,NA,"2016 C 3 mid O"
"9",2016,"C",3,"mid","O","no",534660,4510360,3,NA,30.3,15.1,606,10,11.27,NA,NA,NA,NA,"2016 C 3 mid O"
"10",2016,"C",4,"low","O","no",534686.5,4510304,1,NA,25.2,12.6,504,17,5.3,NA,NA,NA,NA,"2016 C 4 low O"
"11",2016,"C",4,"low","O","no",534708.6,4510324,2,NA,19.2,9.6,384,12,7.27,NA,NA,NA,NA,"2016 C 4 low O"
"12",2016,"C",4,"low","O","no",534660.3,4510307,3,NA,2.42,12.1,484,11,11.57,NA,NA,NA,NA,"2016 C 4 low O"
"13",2016,"B",1,"mid","O","no",534559.1,4510479,1,NA,36.4,18.2,728,7,8.72,NA,NA,NA,NA,"2016 B 1 mid O"
"14",2016,"B",1,"mid","O","no",534572.8,4510470,2,NA,39.8,19.9,796,9,10.57,NA,NA,NA,NA,"2016 B 1 mid O"
"15",2016,"B",1,"mid","O","no",534562.8,4510503,3,NA,26.4,13.2,528,5,11.27,NA,NA,NA,NA,"2016 B 1 mid O"
"16",2016,"B",2,"low","O","no",534564.8,4510384,1,NA,24.2,12.1,484,7,7.83,NA,NA,NA,NA,"2016 B 2 low O"
"17",2016,"B",2,"low","O","no",534562.9,4510423,2,NA,33.1,16.5,662,12,8.6,NA,NA,NA,NA,"2016 B 2 low O"
"18",2016,"B",2,"low","O","no",534570,4510396,3,NA,27.7,13.9,554,9,11.47,NA,NA,NA,NA,"2016 B 2 low O"
"19",2016,"B",3,"mid","O","no",534562.4,4510325,1,NA,33.1,16.5,662,11,9.01,NA,NA,NA,NA,"2016 B 3 mid O"
"20",2016,"B",3,"mid","O","no",534558,4510358,2,NA,30.3,15.1,606,9,11.47,NA,NA,NA,NA,"2016 B 3 mid O"
"21",2016,"B",3,"mid","O","no",534567.7,4510341,3,NA,47.8,23.9,956,9,11.57,NA,NA,NA,NA,"2016 B 3 mid O"
"22",2016,"B",4,"high","O","no",534589.7,4510253,1,NA,17.5,8.8,350,8,8.86,NA,NA,NA,NA,"2016 B 4 high O"
"23",2016,"B",4,"high","O","no",534606.8,4510305,2,NA,74.6,37.3,1492,11,9.87,NA,NA,NA,NA,"2016 B 4 high O"
"24",2016,"B",4,"high","O","no",534572.7,4510275,3,NA,36.4,18.2,728,11,10.57,NA,NA,NA,NA,"2016 B 4 high O"
"25",2016,"A",1,"high","O","no",534466.9,4510430,1,NA,41.5,20.8,830,9,9.77,NA,NA,NA,NA,"2016 A 1 high O"
"26",2016,"A",1,"high","O","no",534498.7,4510414,2,NA,33.1,16.5,662,9,9.2,NA,NA,NA,NA,"2016 A 1 high O"
"27",2016,"A",1,"high","O","no",534465.9,4510446,3,NA,39.8,19.9,796,12,7.73,NA,NA,NA,NA,"2016 A 1 high O"
"28",2016,"A",2,"mid","O","no",534492.1,4510360,1,NA,26.4,13.2,528,6,12.37,NA,NA,NA,NA,"2016 A 2 mid O"
"29",2016,"A",2,"mid","O","no",534468.7,4510316,2,NA,27.7,13.9,554,6,11.37,NA,NA,NA,NA,"2016 A 2 mid O"
"30",2016,"A",2,"mid","O","no",534515,4510339,3,NA,24.2,12.1,484,7,9.05,NA,NA,NA,NA,"2016 A 2 mid O"
"31",2016,"A",3,"high","O","no",534512.3,4510260,1,NA,31.6,15.8,632,11,13.7,NA,NA,NA,NA,"2016 A 3 high O"
"32",2016,"A",3,"high","O","no",534499.6,4510281,2,NA,33.1,16.5,662,10,9.67,NA,NA,NA,NA,"2016 A 3 high O"
"33",2016,"A",3,"high","O","no",534489.2,4510300,3,NA,27.7,13.9,554,9,8.93,NA,NA,NA,NA,"2016 A 3 high O"
"34",2016,"A",4,"low","O","no",534510.9,4510201,1,NA,18.4,9.2,368,10,7.03,NA,NA,NA,NA,"2016 A 4 low O"
"35",2016,"A",4,"low","O","no",534535.5,4510208,2,NA,14.6,7.3,292,12,13.67,NA,NA,NA,NA,"2016 A 4 low O"
"36",2016,"A",4,"low","O","no",534497.4,4510232,3,NA,24.2,12.1,484,13,13.77,NA,NA,NA,NA,"2016 A 4 low O"
"37",2016,"C",1,"low","D1","biomass",534636.6,4510510,1,NA,23,11.5,460,21,9.47,NA,NA,NA,NA,"2016 C 1 low D1"
"38",2016,"C",1,"low","D2","nitrogen",534637.8,4510510,1,NA,22.1,11.1,442,21,8.12,NA,NA,NA,NA,"2016 C 1 low D2"
"39",2016,"C",1,"low","D3","biomass_nitrogen",534638.1,4510508,1,NA,34.7,17.4,694,21,9.37,NA,NA,NA,NA,"2016 C 1 low D3"
"40",2016,"C",1,"low","D4","rainout",534636.9,4510507,1,NA,23,11.5,460,21,9.02,NA,NA,NA,NA,"2016 C 1 low D4"
"41",2016,"C",1,"low","C1","control_1",534640.3,4510509,1,NA,18.4,9.2,368,21,11.57,NA,NA,NA,NA,"2016 C 1 low C1"
