"","year","block","level","diversity","transect","quadrat","treat","bare","litter","unit","replicate"
"2015 a 3 2 C1 1",2015,"a",3,2,"C1",1,"control",3,0,"a 3 2 C1","a 3"
"2015 a 3 2 C1 7",2015,"a",3,2,"C1",7,"control",37.5,0,"a 3 2 C1","a 3"
"2015 a 3 2 C2 2",2015,"a",3,2,"C2",2,"control",15,0,"a 3 2 C2","a 3"
"2015 a 3 2 C2 4",2015,"a",3,2,"C2",4,"control",0,0,"a 3 2 C2","a 3"
"2015 a 3 2 C2 5",2015,"a",3,2,"C2",5,"control",3,0,"a 3 2 C2","a 3"
"2015 a 3 2 C2 6",2015,"a",3,2,"C2",6,"control",3,0,"a 3 2 C2","a 3"
"2015 a 3 2 D1 4",2015,"a",3,2,"D1",4,"biomass",2.5,3,"a 3 2 D1","a 3"
"2015 a 3 2 D1 5",2015,"a",3,2,"D1",5,"biomass",15,3,"a 3 2 D1","a 3"
"2015 a 3 2 D1 6",2015,"a",3,2,"D1",6,"biomass",0,0,"a 3 2 D1","a 3"
"2015 a 3 2 D1 7",2015,"a",3,2,"D1",7,"biomass",37.5,15,"a 3 2 D1","a 3"
"2015 a 3 2 D2 1",2015,"a",3,2,"D2",1,"biomass_nitrogen",62.5,0,"a 3 2 D2","a 3"
"2015 a 3 2 D2 5",2015,"a",3,2,"D2",5,"biomass_nitrogen",37.5,0,"a 3 2 D2","a 3"
"2015 a 3 2 D2 6",2015,"a",3,2,"D2",6,"biomass_nitrogen",15,0,"a 3 2 D2","a 3"
"2015 a 3 2 D2 7",2015,"a",3,2,"D2",7,"biomass_nitrogen",37.5,0,"a 3 2 D2","a 3"
"2015 a 3 2 D3 2",2015,"a",3,2,"D3",2,"nitrogen",37.5,0,"a 3 2 D3","a 3"
"2015 a 3 2 D3 5",2015,"a",3,2,"D3",5,"nitrogen",3,0,"a 3 2 D3","a 3"
"2015 a 3 2 D3 6",2015,"a",3,2,"D3",6,"nitrogen",15,0,"a 3 2 D3","a 3"
"2015 a 3 2 D3 7",2015,"a",3,2,"D3",7,"nitrogen",15,0,"a 3 2 D3","a 3"
"2015 a 3 2 D4 2",2015,"a",3,2,"D4",2,"rainout",37.5,0,"a 3 2 D4","a 3"
"2015 a 3 2 D4 3",2015,"a",3,2,"D4",3,"rainout",37.5,0,"a 3 2 D4","a 3"
"2015 a 3 2 D4 6",2015,"a",3,2,"D4",6,"rainout",15,3,"a 3 2 D4","a 3"
"2015 a 3 2 D4 8",2015,"a",3,2,"D4",8,"rainout",62.5,0,"a 3 2 D4","a 3"
"2015 a 4 1 C1 1",2015,"a",4,1,"C1",1,"control",37.5,0,"a 4 1 C1","a 4"
"2015 a 4 1 C1 2",2015,"a",4,1,"C1",2,"control",15,0,"a 4 1 C1","a 4"
"2015 a 4 1 C1 3",2015,"a",4,1,"C1",3,"control",37.5,0,"a 4 1 C1","a 4"
"2015 a 4 1 C2 1",2015,"a",4,1,"C2",1,"control",37.5,0,"a 4 1 C2","a 4"
"2015 a 4 1 C2 2",2015,"a",4,1,"C2",2,"control",37.5,0,"a 4 1 C2","a 4"
"2015 a 4 1 C2 3",2015,"a",4,1,"C2",3,"control",37.5,0,"a 4 1 C2","a 4"
"2015 a 4 1 D1 1",2015,"a",4,1,"D1",1,"nitrogen",37.5,0,"a 4 1 D1","a 4"
"2015 a 4 1 D1 2",2015,"a",4,1,"D1",2,"nitrogen",37.5,0,"a 4 1 D1","a 4"
"2015 a 4 1 D1 3",2015,"a",4,1,"D1",3,"nitrogen",15,0,"a 4 1 D1","a 4"
"2015 a 4 1 D2 1",2015,"a",4,1,"D2",1,"rainout",15,0,"a 4 1 D2","a 4"
"2015 a 4 1 D2 2",2015,"a",4,1,"D2",2,"rainout",15,0,"a 4 1 D2","a 4"
"2015 a 4 1 D2 3",2015,"a",4,1,"D2",3,"rainout",15,0,"a 4 1 D2","a 4"
"2015 a 4 1 D3 1",2015,"a",4,1,"D3",1,"biomass_nitrogen",15,3,"a 4 1 D3","a 4"
