year,block,level,diversity,transect,treat,taxa,count,
2016,c,1,1,1,no,curlydock,1,
2016,c,1,1,1,no,bromus_inermis,1,
2016,c,1,1,1,no,lespedeza,1,
2016,c,1,1,1,no,cornus_sp,2,
2016,c,1,1,3,no,bromus_inermis,1,
2016,c,1,1,3,no,poa_prat,2,
2016,c,1,1,3,no,acer_rubrum,1,
2016,c,1,1,3,no,cornus_sp,1,
2016,c,2,3,1,no,setaria,2,
2016,c,2,3,1,no,curlydock,1,
2016,c,2,3,1,no,cirsium_arve,1,
2016,c,2,3,3,no,cornus_sp,1,
2016,c,2,3,3,no,stjohnswort,5,
2016,c,3,2,1,no,cornus_sp,1,
2016,c,3,2,1,no,cirsium_arve,2,
2016,c,3,2,1,no,melilotus,1,
2016,c,3,2,2,no,melilotus,4,
2016,c,3,2,2,no,setaria,1,
2016,c,3,2,3,no,ambart,20,
2016,c,3,2,3,no,melilotus,2,
2016,c,3,2,3,no,taoff,1,
2016,c,3,2,3,no,acer_rubrum,2,
2016,b,1,2,1,no,bromus_inermis,9,
2016,b,1,2,1,no,cirsium_arve,1,
2016,b,1,2,1,no,acer_rubrum,3,
2016,b,1,2,1,no,toxicodendron,2,
2016,b,1,2,1,no,stjohnswort,4,
2016,b,1,2,1,no,conium_maculatum,1,
2016,b,1,2,1,no,cornus_sp,3,
2016,b,1,2,2,no,acer_rubrum,5,
2016,b,1,2,2,no,ambart,30,
2016,b,1,2,2,no,cirsium_arve,1,
2016,b,1,2,3,no,ambart,38,
2016,b,1,2,3,no,cornus_sp,1,
2016,b,1,2,3,no,cirsium_arve,1,
2016,b,2,1,1,no,cornus_sp,2,
2016,b,2,1,1,no,ambart,8,
2016,b,2,1,2,no,cornus_sp,1,
2016,b,2,1,3,no,toxicodendron,1,
2016,b,3,2,1,no,cornus_sp,3,
2016,b,3,2,2,no,cornus_sp,6,
2016,b,3,2,2,no,acer_rubrum,1,
2016,b,3,2,2,no,ambart,1,
2016,b,3,2,3,no,dogbane,6,
2016,b,3,2,3,no,toxicodendron,1,
2016,b,3,2,3,no,acer_rubrum,2,
2016,b,3,2,3,no,cirsium_arve,2,
2016,b,3,2,3,no,melilotus,7,
2016,b,3,2,3,no,cornus_sp,1,
2016,b,3,2,3,no,ambart,42,
2016,b,4,3,1,no,cornus_sp,2,
2016,b,4,3,1,no,melilotus,8,
2016,b,4,3,2,no,cornus_sp,1,
2016,b,4,3,2,no,melilotus,8,
2016,b,4,3,2,no,setaria,1,
2016,b,4,3,3,no,cornus_sp,2,
2016,b,4,3,3,no,melilotus,10,
2016,c,4,1,1,no,ambpsi,1,
2016,c,4,1,1,no,cirsium_arve,9,
2016,c,4,1,1,no,cornus_sp,7,
2016,c,4,1,1,no,acer_rubrum,5,
2016,c,4,1,1,no,ash_seedling,10,
2016,c,4,1,1,no,toxicodendron,1,
2016,c,4,1,1,no,setaria,1,
2016,c,4,1,2,no,cornus_sp,2,
2016,c,4,1,2,no,cirsium_arve,3,
2016,c,4,1,2,no,toxicodendron,1,
2016,c,4,1,2,no,melilotus,3,giant clone at bottom of transect w/ >10 individual stems
2016,c,4,1,2,no,ambart,15,
2016,c,4,1,2,no,acer_rubrum,1,
2016,c,4,1,2,no,ambtri,17,
2016,c,4,1,2,no,setaria,3,
2016,c,4,1,2,no,hordjub,1,
2016,c,4,1,3,no,cornus_sp,4,
2016,c,4,1,3,no,melilotus,1,
2016,c,4,1,3,no,ambart,6,
2016,c,4,1,3,no,forb1,1,"leaves like stiff goldenrod, stems with orange nodes, wavy, branching striate stems, pubescent"
2016,a,1,3,1,no,setaria,>25,
2016,a,1,3,1,no,cornus_sp,3,
2016,a,1,3,1,no,acer_rubrum,1,
2016,a,1,3,1,no,toxicodendron,1,
2016,a,1,3,2,no,cornus_sp,2,
2016,a,1,3,2,no,lespedeza,1,
2016,a,1,3,2,no,cornus_sp,1,
2016,a,1,3,3,no,toxicodendron,1,
2016,a,2,2,1,no,ash_seedling,3,
2016,a,2,2,1,no,toxicodendron,1,
2016,a,2,2,2,no,mullein,1,
2016,a,2,2,2,no,ash_seedling,2,
2016,a,2,2,2,no,cornus_sp,6,
2016,a,2,2,3,no,acer_rubrum,1,
2016,a,2,2,3,no,cirsium_arve,2,
2016,a,3,3,1,no,setaria,>50,
2016,a,3,3,2,no,acer_rubrum,2,
2016,a,3,3,2,no,cornus_sp,2,
2016,a,3,3,3,no,setaria,1,
2016,a,3,3,3,no,lythrum_sal,7,
2016,a,3,3,3,no,cornus_sp,2,
